time,_BUS___13-BUS___14-1_AC_side1_Distance_distance_UMonitoredPu,_BUS___13-BUS___14-1_AC_side1_Distance_distance_PMonitoredPu,_BUS___13-BUS___14-1_AC_side1_Distance_distance_QMonitoredPu,R,X
5.207044,0.773905,10.884659,-0.09263,0.0550210692147885,-0.000468237143797142
5.207864,0.774326,10.91158,-0.083476,0.054945815852171,-0.000420347642053289
5.207864,0.774326,10.911583,-0.083475,0.0549458008243319,-0.000420342375969747
5.207878,0.774333,10.91204,-0.083308,0.0549445061922533,-0.00041947398670315
5.207892,0.77434,10.912496,-0.083143,0.054943216531021,-0.000418615855807753
5.20792,0.774354,10.913408,-0.082811,0.0549406376312267,-0.000416889860883009
5.207977,0.774382,10.915229,-0.082148,0.0549354959284223,-0.000413444474644374
5.208091,0.774438,10.918867,-0.08082,0.0549252370717706,-0.000406549293085125
5.208318,0.77455,10.92612,-0.078158,0.0549048523907571,-0.000392751814290598
5.208772,0.774769,10.940536,-0.072812,0.0548638949044573,-0.000365132925460265
5.209681,0.775195,10.969051,-0.062069,0.0547821363388494,-0.000309987839459954
5.211047,0.775802,11.011276,-0.045893,0.0546583600753897,-0.000227806125188385
5.211047,0.775802,11.011276,-0.045893,0.0546583600753897,-0.000227806125188385
5.21106,0.775807,11.011657,-0.045745,0.0546571796095821,-0.000227058714346109
5.211072,0.775812,11.012036,-0.045597,0.0546560091358154,-0.000226311469429066
